org_siape,cod_org,org_abono,grupo_nucleo,grupo_abono,metodo,score,n_ativos,grupo_consistente
TRIBUNAL REGIONAL ELEITORAL - SE,99019,,,,sem_casamento,0.0,3,
EMPRESA GERENCIAL DE PROJETOS NAVAIS,92012,,,,sem_casamento,0.0,3,
CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVANCADA S.A.,24209,,,,sem_casamento,0.0,3,
CONSELHO DA JUSTICA FEDERAL,99901,,,,sem_casamento,0.0,3,
TRIBUNAL REGIONAL ELEITORAL - AL,99024,,,,sem_casamento,0.0,3,
PREFEITURA DE SAO LUIS - MA,99132,,,,sem_casamento,0.0,3,
PREFEITURA MUNICIPAL DE PORTO VELHO - RO,99033,,,,sem_casamento,0.0,3,
COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO PARNAIBA,22203,,,,sem_casamento,0.0,3,
GOVERNO DO ESTADO DE MATO GROSSO,97220,,,,sem_casamento,0.0,3,
ASSEMBLEIA LEGISLATIVA - PERNAMBUCO,99071,,,,sem_casamento,0.0,3,
PREFEITURA DE SAO PAULO/SP,99131,,,,sem_casamento,0.0,2,
PREFEITURA MUNICIPAL DE ARACAJU - SE,99036,,,,sem_casamento,0.0,2,
PREFEITURA MUNICIPAL DE VITORIA - ES,99045,,,,sem_casamento,0.0,2,
GOVERNO DO ESTADO DO AMAZONAS,93320,,,,sem_casamento,0.0,2,
ASSEMBLEIA LEGISLATIVA - CEARA,99041,,,,sem_casamento,0.0,2,
MINISTERIO DA DEFESA,40105,MINISTERIO DA DEFESA,,,exato,100.0,2,True
BANCO DO NORDESTE DO BRASIL,25282,,,,sem_casamento,0.0,2,
TRIBUNAL REGIONAL DO TRABALHO - MS,99042,,,,sem_casamento,0.0,2,
TRIBUNAL DE CONTAS DA UNIAO,90000,,,,sem_casamento,0.0,2,
TELEBRAS - TELECOM. BRASILEIRAS S.A.,24100,,,,sem_casamento,0.0,2,
TRIBUNAL REGIONAL DO TRABALHO - BA,99070,,,,sem_casamento,0.0,2,
MINISTERIO DO TRABALHO E PREVIDENCIA,33000,MINISTERIO DO TRABALHO E PREVIDENCIA,,,exato,100.0,2,True
CASA DA MOEDA DO BRASIL,25211,,,,sem_casamento,0.0,2,
TRIBUNAL REGIONAL ELEITORAL - MT,00163,,,,sem_casamento,0.0,2,
TRIBUNAL REGIONAL DO TRABALHO MG,99001,,,,sem_casamento,0.0,2,
TRIBUNAL REGIONAL DO TRABALHO - MT,99052,,,,sem_casamento,0.0,2,
MINISTERIO DAS CIDADES,56000,MINISTERIO DAS CIDADES,,,exato,100.0,1,True
ASSEMBLEIA LEGISLATIVA - MINAS GERAIS,00160,,,,sem_casamento,0.0,1,
APEX-BRASIL,35001,,,,sem_casamento,0.0,1,
"MINISTERIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVICOS",28000,,,,sem_casamento,0.0,1,
JUSTICA FEDERAL - SECAO JUDICIARIA DE SERGIPE,12001,,,,sem_casamento,0.0,1,
ORGAO CENTRAL DO SIPEC - SISTEMA DE PESSOAL CIVIL DA ADMINISTRACAO FEDERAL,98000,,,,sem_casamento,0.0,1,
TRIBUNAL REGIONAL ELEITORAL - ES,99018,,,,sem_casamento,0.0,1,
TRIBUNAL REGIONAL ELEITORAL - AC,99023,,,,sem_casamento,0.0,1,
TRIBUNAL REGIONAL DO TRABALHO DA 3A REGIAO,99100,,,,sem_casamento,0.0,1,
TRIBUNAL REGIONAL DO TRABALHO - AL,99050,,,,sem_casamento,0.0,1,
TRIBUNAL DE JUSTICA DO ESTADO DE RONDONIA,99044,,,,sem_casamento,0.0,1,
TRIBUNAL DE JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS,99048,,,,sem_casamento,0.0,1,
SEM INFORMACAO,-1,,,,sem_casamento,0.0,1,
SERVICO FEDERAL DE PROCESSAMENTO DE DADOS,25207,,,,sem_casamento,0.0,1,
MINISTERIO DO DESENVOLVIMENTO SOCIAL,55000,,,,sem_casamento,0.0,1,
EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S.A.,29205,,,,sem_casamento,0.0,1,
TRIBUNAL REGIONAL ELEITORAL - PR,99017,,,,sem_casamento,0.0,1,
TRIBUNAL REGIONAL FEDERAL DA 3A REGIAO - SP,99069,,,,sem_casamento,0.0,1,
CONSELHO NACIONAL DE JUSTICA,17100,,,,sem_casamento,0.0,1,
COMPANHIA DOCAS DO ESTADO DE SAO PAULO,99058,,,,sem_casamento,0.0,1,
COMPANHIA ENERGETICA DE BRASILIA,99060,,,,sem_casamento,0.0,1,
CAIXA ECONOMICA FEDERAL,25220,,,,sem_casamento,0.0,1,
