org_siape,cod_org,n_ativos,grupo_nucleo,candidatos
FUNDACAO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,26350,1504,UNIV,FUNDACAO UNIVERSIDADE FEDERAL DO ABC (89) | UNIVERSIDADE FEDERAL DO RIO GRANDE (89) | UNIVERSIDADE FEDERAL DA BAHIA (88)
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,26255,1468,UNIV,UNIVERSIDADE FEDERAL DO ACRE (90) | UNIVERSIDADE FEDERAL DO PARA (90) | UNIVERSIDADE FEDERAL DO CEARA (88)
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA,26256,1421,IF,MINISTERIO DA EDUCACAO (67) | UNIVERS. TECNOLOGICA FEDERAL DO PARANA (67) | FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO (59)
FUNDACAO UNIVERSIDADE FEDERAL DE SAO JOAO DEL-REI,26285,1397,UNIV,UNIVERSIDADE FEDERAL DE SAO PAULO (90) | FUNDACAO UNIVERSIDADE FEDERAL DO ABC (89) | FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS (89)
UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,26230,990,UNIV,UNIVERSIDADE FEDERAL DO ACRE (90) | UNIVERSIDADE FEDERAL DO PARA (90) | UNIVERSIDADE FEDERAL DO CEARA (88)
EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,26443,940,,AGENCIA BRASILEIRA DE INTELIGENCIA (57) | INSTITUTO FEDERAL DE BRASILIA (56) | INSTITUTO BRASILEIRO DE MUSEUS (55)
UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,26267,907,UNIV,UNIVERSIDADE FEDERAL DA BAHIA (88) | UNIV.FED. DA INTEGRACAO LATINO-AMERICANA (86) | UNIVERSIDADE FEDERAL DA PARAIBA (85)
INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,24204,894,,INSTITUTO DO PATR.HIST.E ART. NACIONAL (71) | INSTITUTO NACIONAL DE SEGURO SOCIAL (68) | INSTITUTO FEDERAL DO ACRE (65)
UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,26442,755,UNIV,UN. INT.INTERN. LUSOFONIA AFROBRASILEIRA (70) | UNIVERSIDADE FEDERAL DA BAHIA (68) | UNIVERSIDADE FEDERAL DA PARAIBA (65)
"AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCOMBUSTIVEIS",32300,729,,AGENCIA NACIONAL DO CINEMA (84) | AGENCIA NAC PETROLEO GAS NAT BIOCOMBUSTI (81) | AGENCIA NACIONAL DE AGUAS (78)
"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",30203,670,,INSTITUTO NACIONAL DE SEGURO SOCIAL (75) | INSTITUTO DO PATR.HIST.E ART. NACIONAL (64) | INSTITUTO FEDERAL DE GOIAS (63)
UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE,26284,595,UNIV,UNIVERSIDADE FEDERAL DA BAHIA (88) | UNIVERSIDADE FEDERAL DE GOIAS (88) | UNIVERSIDADE FEDERAL DE JATAI (88)
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26106,426,,FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO (92) | MINISTERIO DA EDUCACAO (67) | AGENCIA NACIONAL DE MINERACAO (62)
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,42204,426,,DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS (91) | DEPARTAMENTO DE POLICIA FEDERAL (65) | DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP. (63)
FUNCAO ESCOLA NACIONAL DE ADMINISTRACAO PUBLICA,40202,385,,FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA (85) | FUNDACAO NACIONAL DE ARTES (63) | AGENCIA NACIONAL DE AGUAS (61)
INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS,26107,361,,INSTITUTO NACIONAL DE SEGURO SOCIAL (75) | INSTITUTO DE PESQUISA ECONOMICA APLICADA (66) | INSTITUTO DO PATR.HIST.E ART. NACIONAL (64)
FUNDACAO COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR,26298,351,,FUND COORD APERF PESSOAL NIVEL SUPERIOR (77) | FUNDACAO OSORIO (70) | FUNDACAO NACIONAL DE ARTES (59)
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,40501,330,,CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO (67) | AGENCIA NACIONAL DE AGUAS (61) | FUNDACAO NACIONAL DE ARTES (59)
CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA,38000,305,,INSTITUTO DE PESQUISA ECONOMICA APLICADA (60) | CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO (55) | MINISTERIO DA DEFESA (54)
ESTADOS / MUNICIPIOS / ADMINISTRACAO DIRETA AUTARQUICA E FUNDACIONAL,99990,228,,FUNDACAO NACIONAL DOS POVOS INDIGENAS (50) | DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS (49) | FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA (49)
MIN DOS DIR HUM E DA CIDADANIA,81100,224,,MIN DA INTEG E DO DESENV REGIONAL (51) | COMANDO DA MARINHA (50) | MIN DO DESENV AGR E AGRIC FAMILIAR (50)
SUPERINTENDENCIA NACIONAL DE PREVIDENCIA COMPLEMENTAR,33206,201,,SUPERINT.NAC.DE PREVIDENCIA COMPLEMENTAR (77) | SUPERINTENDENCIA DE SEGUROS PRIVADOS (69) | SUPERINTENDENCIA ZONA FRANCA DE MANAUS (67)
PREFEITURA MUNICIPAL,99054,186,,MINISTERIO DO TRABALHO E PREVIDENCIA (46) | AGENCIA ESPACIAL BRASILEIRA (43) | MINISTERIO DAS COMUNICACOES (43)
"FUNDACAO JORGE DUPRAT FIGUEIREDO, DE SEGURANCA E MEDICINA DO TRABALHO",57201,146,,FUNDACAO OSORIO (70) | FUNDACAO NACIONAL DE ARTES (59) | FUNDACAO NACIONAL DE SAUDE (59)
SUPERINTENDENCIA DO DESENVOLVIMENTO DO NORDESTE,53203,144,,SUPERINTENDENCIA DO DESENV. DO NORDESTE (88) | SUP.DE DESENVOLVIMENTO DO CENTRO OESTE (76) | SUPERINTENDENCIA DO DESENV. DA AMAZONIA (66)
INSTITUTO DE PESQUISAS JARDIM BOTANICO DO RIO DE JANEIRO,44206,143,,INSTITUTO DE PESQ. JARDIM BOTANICO DO RJ (87) | INSTITUTO FEDERAL DO RIO DE JANEIRO (87) | UNIVERSIDADE DO RIO DE JANEIRO (72)
SUPERINTENDENCIA DO DESENVOLVIMENTO DA AMAZONIA,53202,127,,SUPERINTENDENCIA DO DESENV. DA AMAZONIA (89) | SUPERINTENDENCIA DO DESENV. DO NORDESTE (70) | SUP.DE DESENVOLVIMENTO DO CENTRO OESTE (64)
CAMARA DOS DEPUTADOS,99015,111,,MINISTERIO DOS TRANSPORTES (48) | COMANDO DA AERONAUTICA (48) | INSTITUTO FEDERAL DE SANTA CATARINA (47)
GOVERNO DO ESTADO DO MARANHAO,00157,90,,INSTITUTO FEDERAL DO MARANHAO (65) | FUNDACAO UNIVERSIDADE DO MARANHAO (61) | INSTITUTO FEDERAL DO PARANA (57)
MINISTERIO DOS POVOS INDIGENAS,17200,86,,FUNDACAO NACIONAL DOS POVOS INDIGENAS (78) | MINISTERIO DOS TRANSPORTES (71) | MINISTERIO DO ESPORTE (71)
GOVERNO DO DISTRITO FEDERAL,97400,80,,INSTITUTO FEDERAL DO MARANHAO (75) | INSTITUTO FEDERAL DO PARANA (74) | INSTITUTO FEDERAL DO PARA (73)
MINISTERIO DA IGUALDADE RACIAL,81300,73,,MINISTERIO DA SAUDE (81) | MINISTERIO DA DEFESA (79) | MINISTERIO DA CULTURA (76)
SENADO FEDERAL,99016,68,,DEPARTAMENTO DE POLICIA FEDERAL (67) | DEPTO. DE POLICIA RODOVIARIA FEDERAL (67) | FUND. UNIV FEDERAL DA GRANDE DOURADOS (67)
PODER EXECUTIVO FEDERAL,-20,61,,INSTITUTO FEDERAL DE PERNAMBUCO (59) | INSTITUTO FEDERAL DE RORAIMA (59) | INSTITUTO FEDERAL DE SERGIPE (59)
MINISTERIO DAS MULHERES,81200,60,,MINISTERIO DA DEFESA (79) | MINISTERIO DAS CIDADES (78) | MINISTERIO DA SAUDE (76)
MINISTERIO PUBLICO DO DISTRITO FEDERAL E TERRITORIOS,90400,59,,MINISTERIO DO ESPORTE (76) | MINISTERIO DO TURISMO (76) | MINISTERIO DA SAUDE (69)
MINISTERIO PUBLICO DO TRABALHO,90200,55,,MINISTERIO DO TRABALHO E EMPREGO (85) | MINISTERIO DO TRABALHO E PREVIDENCIA (85) | MINISTERIO DO ESPORTE (76)
SUPERINTENDENCIA DO DESENVOLVIMENTO DO CENTRO-OESTE,53297,55,,SUP.DE DESENVOLVIMENTO DO CENTRO OESTE (84) | SUPERINTENDENCIA DO DESENV. DO NORDESTE (69) | SUPERINTENDENCIA DO DESENV. DA AMAZONIA (66)
INST NAC DE TECN DA INFORMACAO,17800,53,,AGENCIA NACIONAL DE MINERACAO (58) | DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP. (57) | INSTITUTO FED. DO NORTE DE MINAS GERAIS (55)
EMPRESA BRASIL DE COMUNICACAO,20415,50,,FUNDACAO UNIVERSIDADE DE BRASILIA (68) | AGENCIA NACIONAL DE TELECOMUNICACOES (58) | INSTITUTO BRASILEIRO DE MUSEUS (58)
TRIBUNAL SUPERIOR DO TRABALHO,04000,48,,MINISTERIO DO TRABALHO E PREVIDENCIA (68) | MINISTERIO DO TRABALHO E EMPREGO (62) | INSTITUTO FEDERAL DO ESPIRITO SANTO (53)
TRIBUNAL REGIONAL ELEITORAL - RO,00167,43,,MIN DA INTEG E DO DESENV REGIONAL (55) | UNIV. FEDERAL RURAL DO RIO DE JANEIRO (52) | INSTITUTO FEDERAL DO TRIANGULO MINEIRO (51)
TRIBUNAL REGIONAL ELEITORAL - RN,99020,42,,MIN DA INTEG E DO DESENV REGIONAL (55) | AGENCIA NACIONAL DE ENERGIA ELETRICA (53) | INSTITUTO FEDERAL DE GOIAS (52)
TRIBUNAL REGIONAL ELEITORAL - PE,99030,39,,MIN DA INTEG E DO DESENV REGIONAL (58) | AGENCIA NACIONAL DE ENERGIA ELETRICA (53) | MINISTERIO DO TRABALHO E PREVIDENCIA (53)
GOVERNO DO ESTADO DE SAO PAULO,95420,39,,UNIVERSIDADE FEDERAL DE SAO PAULO (63) | INSTITUTO FEDERAL DE SAO PAULO (63) | MIN GESTAO E INOV EM SERV PUBLICOS (59)
COMPANHIA BRASILEIRA DE TRENS URBANOS,29214,37,,AGENCIA BRASILEIRA DE INTELIGENCIA (65) | AGENCIA ESPACIAL BRASILEIRA (59) | INSTITUTO BRASILEIRO DE MUSEUS (57)
GOVERNO DO ESTADO DE PERNAMBUCO,94620,35,,UNIVER. FEDERAL DO AGRESTE DE PERNAMBUCO (70) | UNIVERSIDADE FEDERAL DE PERNAMBUCO (65) | INSTITUTO FEDERAL DE PERNAMBUCO (65)
TRIBUNAL REGIONAL ELEITORAL - MG,99000,32,,MIN DA INTEG E DO DESENV REGIONAL (55) | INSTITUTO FEDERAL DO RIO GRANDE DO SUL (51) | AGENCIA NACIONAL DE ENERGIA ELETRICA (50)
MINISTERIO PUBLICO FEDERAL,90100,31,,MINISTERIO DA EDUCACAO (71) | INSTITUTO FEDERAL DO PIAUI (69) | MINISTERIO DA SAUDE (69)
"VALEC ENGENHARIA, CONSTRUCOES E FERROVIAS S.A.",49300,30,,DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS (49) | FUND.UNIV.FED.DO VALE DO SAO FRANCISCO (48) | AGENCIA NACIONAL DE ENERGIA ELETRICA (46)
GOVERNO DO ESTADO DO PIAUI,94220,27,,INSTITUTO FEDERAL DO PIAUI (61) | UNIVERSIDADE FEDERAL DO PIAUI (58) | UNIV. FEDERAL DO DELTA DO PARNAIBA (56)
SUPERIOR TRIBUNAL DE JUSTICA,00101,27,,MINIST. DA JUSTICA E SEGURANCA PUBLICA (55) | INSTITUTO NACIONAL DE SEGURO SOCIAL (54) | FUND COORD APERF PESSOAL NIVEL SUPERIOR (51)
TRIBUNAL REGIONAL FEDERAL DA 1A REGIAO - DF,99034,27,,UNIV. FEDERAL DO RECONCAVO DA BAHIA (62) | UNIV. FEDERAL RURAL DO RIO DE JANEIRO (60) | INSTITUTO FEDERAL DA BAHIA (58)
TRIBUNAL REGIONAL ELEITORAL - PB,99021,27,,MIN DA INTEG E DO DESENV REGIONAL (55) | MINISTERIO DO TRABALHO E PREVIDENCIA (53) | DEFENSORIA PUBLICA DA UNIAO (51)
GOVERNO DO ESTADO DO RIO DE JANEIRO,95320,25,,UNIVERSIDADE DO RIO DE JANEIRO (74) | INSTITUTO FEDERAL DO RIO DE JANEIRO (72) | UNIV. FEDERAL RURAL DO RIO DE JANEIRO (69)
PROCURADORIA-GERAL DA REPUBLICA,99004,24,,CONTROLADORIA-GERAL DA UNIAO (71) | PRESIDENCIA DA REPUBLICA (67) | ADVOCACIA-GERAL DA UNIAO (65)
GOVERNO DO ESTADO DO CEARA,94320,23,,INSTITUTO FEDERAL DO CEARA (61) | UNIVERSIDADE FEDERAL DO CEARA (58) | INSTITUTO FEDERAL DO MARANHAO (54)
TRIBUNAL REGIONAL ELEITORAL - DF,99032,23,,AGENCIA NACIONAL DE ENERGIA ELETRICA (56) | MIN DA INTEG E DO DESENV REGIONAL (55) | MINISTERIO DO TRABALHO E PREVIDENCIA (53)
GOVERNO DO ESTADO DE MINAS GERAIS,95120,22,,INSTITUTO FED. DO NORTE DE MINAS GERAIS (72) | INSTITUTO FEDERAL DO SUL DE MINAS GERAIS (71) | INSTITUTO FEDERAL DE MINAS GERAIS (67)
TRIBUNAL REGIONAL ELEITORAL - GO,00164,22,,MIN DA INTEG E DO DESENV REGIONAL (55) | MINISTERIO DO TRABALHO E PREVIDENCIA (53) | INSTITUTO FEDERAL DE GOIAS (52)
MINISTERIO PUBLICO MILITAR,90300,21,,MINISTERIO DA SAUDE (69) | MINISTERIO DA DEFESA (67) | MINISTERIO DA EDUCACAO (67)
GOVERNO DO ESTADO DO RIO GRANDE DO SUL,96320,21,,INSTITUTO FEDERAL DO RIO GRANDE DO SUL (72) | UNIVERSIDADE FED. DO RIO GRANDE DO SUL (72) | UNIVERSIDADE FED. DO RIO GRANDE DO NORTE (64)
SUPREMO TRIBUNAL FEDERAL,10000,21,,INSTITUTO FEDERAL DA PARAIBA (62) | INSTITUTO FEDERAL DO ACRE (61) | INSTITUTO FEDERAL DO PARANA (59)
TRIBUNAL REGIONAL ELEITORAL - PI,99022,21,,MIN DA INTEG E DO DESENV REGIONAL (55) | MINISTERIO DO TRABALHO E PREVIDENCIA (53) | INSTITUTO FEDERAL DO TRIANGULO MINEIRO (51)
TRIBUNAL REGIONAL FEDERAL DA 5A REGIAO - PE,99053,20,,UNIV. FEDERAL DO RECONCAVO DA BAHIA (62) | INSTITUTO FEDERAL DA BAHIA (58) | INSTITUTO FEDERAL DE GOIAS (58)
EMPRESA DE PROCESSAMENTO DE DADOS DA PREVIDENCIA SOCIAL,57203,19,,MINISTERIO DA PREVIDENCIA SOCIAL (79) | MINISTERIO DO TRABALHO E PREVIDENCIA (55) | SUPERINT.NAC.DE PREVIDENCIA COMPLEMENTAR (52)
GOVERNO DO ESTADO DE GOIAS,97320,17,,UNIVERSIDADE FEDERAL DE GOIAS (58) | INSTITUTO FEDERAL DE GOIAS (58) | COMISSAO DE VALORES MOBILIARIOS (53)
COMPANHIA NACIONAL DE ABASTECIMENTO,22200,17,,AGENCIA NACIONAL DE ENERGIA ELETRICA (65) | AGENCIA NACIONAL DE TELECOMUNICACOES (65) | AGENCIA NACIONAL DE AGUAS (63)
GOVERNO DO ESTADO DE SANTA CATARINA,96220,16,,INSTITUTO FEDERAL DE SANTA CATARINA (69) | UNIVERSIDADE FEDERAL DE SANTA CATARINA (68) | UNIVERSIDADE FEDERAL DE SANTA MARIA (57)
TRIBUNAL REGIONAL DO TRABALHO,99905,16,,MINISTERIO DO TRABALHO E EMPREGO (66) | MINISTERIO DO TRABALHO E PREVIDENCIA (62) | MIN DA INTEG E DO DESENV REGIONAL (55)
TRIBUNAL REGIONAL ELEITORAL - CE,99026,16,,AGENCIA NACIONAL DE ENERGIA ELETRICA (56) | MIN DA INTEG E DO DESENV REGIONAL (55) | MINISTERIO DO TRABALHO E PREVIDENCIA (53)
TRIBUNAL REGIONAL ELEITORAL - RS,00165,16,,MIN DA INTEG E DO DESENV REGIONAL (55) | INSTITUTO FEDERAL DE GOIAS (52) | INSTITUTO FEDERAL DO PARANA (51)
GOVERNO DO ESTADO DO PARANA,96120,15,,INSTITUTO FEDERAL DO PARANA (63) | UNIVERSIDADE FEDERAL DO PARANA (59) | INSTITUTO FEDERAL DO PARA (57)
GOVERNO DO ESTADO DO PARA,93420,15,,INSTITUTO FEDERAL DO PARA (60) | INSTITUTO FEDERAL DO PARANA (57) | UNIVERSIDADE FEDERAL DO PARA (56)
TRIBUNAL REGIONAL ELEITORAL - MS,99012,15,,MIN DA INTEG E DO DESENV REGIONAL (55) | INSTITUTO FEDERAL DO TRIANGULO MINEIRO (51) | AGENCIA NACIONAL DE ENERGIA ELETRICA (50)
GOVERNO DO ESTADO DA BAHIA,94920,14,,UNIV. FEDERAL DO RECONCAVO DA BAHIA (59) | UNIVERSIDADE FEDERAL DO OESTE DA BAHIA (59) | UNIVERSIDADE FEDERAL DO SUL DA BAHIA (59)
"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",13000,14,,MINISTERIO DA AGRICULTURA E PECUARIA (83) | MINISTERIO DA SAUDE (81) | MINISTERIO DA DEFESA (79)
GOVERNO DO ESTADO DE SERGIPE,94820,14,,INSTITUTO FEDERAL DE SERGIPE (61) | FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE (59) | UNIVERSIDADE DO RIO DE JANEIRO (55)
HOSPITAL DE CLINICAS DE PORTO ALEGRE,99013,14,,MINISTERIO DE PORTOS E AEROPORTOS (58) | FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE (55) | FUNDACAO ALEXANDRE DE GUSMAO (52)
TRIBUNAL REGIONAL ELEITORAL - BA,00162,14,,MIN DA INTEG E DO DESENV REGIONAL (55) | AGENCIA NACIONAL DE ENERGIA ELETRICA (53) | UNIV. FEDERAL DO RECONCAVO DA BAHIA (51)
PREFEITURA MUNICIPAL DE RECIFE - PE,99068,13,,AGENCIA NACIONAL DE SAUDE SUPLEMENTAR (50) | AGENCIA BRASILEIRA DE INTELIGENCIA (49) | AGENCIA ESPACIAL BRASILEIRA (48)
FUNDACAO DE PREVIDENCIA COMPLEMENTAR DO SERVIDOR PUBLICO FEDERAL,77000,13,,SUPERINT.NAC.DE PREVIDENCIA COMPLEMENTAR (75) | FUNDACAO OSORIO (70) | FUNDACAO UNIV. FEDERAL DE OURO PRETO (69)
GOVERNO DO ESTADO DO MATO GROSSO DO SUL,97120,13,,INSTITUTO FEDERAL DE MATO GROSSO DO SUL (71) | UNIV. FEDERAL DE MATO GROSSO DO SUL (71) | INSTITUTO FEDERAL DE MATO GROSSO (65)
GOVERNO DO ESTADO ESPIRITO SANTO,95220,13,,INSTITUTO FEDERAL DO ESPIRITO SANTO (72) | UNIVERSIDADE FEDERAL DO ESPIRITO SANTO (69) | MINISTERIO DO PLANEJAMENTO E ORCAMENTO (54)
GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,94420,13,,INSTITUTO FEDERAL DO RIO GRANDE DO NORTE (73) | UNIVERSIDADE FED. DO RIO GRANDE DO NORTE (73) | UNIVERSIDADE FEDERAL DO RIO GRANDE (65)
TRIBUNAL DE JUSTICA,99133,12,,MINIST. DA JUSTICA E SEGURANCA PUBLICA (56) | UNI.FED.VALES DO JEQUITINHONHA E MUCURI (52) | MINISTERIO DO TRABALHO E PREVIDENCIA (51)
MINISTERIO PUBLICO DA UNIAO,90150,11,,MINISTERIO DA SAUDE (81) | MINISTERIO DA DEFESA (79) | MINISTERIO DA CULTURA (76)
TRIBUNAL REGIONAL ELEITORAL - RJ,99002,10,,MIN DA INTEG E DO DESENV REGIONAL (55) | AGENCIA NACIONAL DE ENERGIA ELETRICA (50) | MINISTERIO DO TRABALHO E PREVIDENCIA (50)
TRIBUNAL REGIONAL DO TRABALHO - DF,99003,10,,MINISTERIO DO TRABALHO E EMPREGO (64) | MINISTERIO DO TRABALHO E PREVIDENCIA (60) | MIN DA INTEG E DO DESENV REGIONAL (57)
AMAZONIA AZUL TECNOLOGIAS DE DEFESA S.A.,52233,9,,SUPERINTENDENCIA DO DESENV. DA AMAZONIA (56) | UNIVERSIDADE FEDERAL RURAL DA AMAZONIA (54) | CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO (52)
TRIBUNAL SUPERIOR ELEITORAL,99047,8,,INSTITUTO FEDERAL DO TRIANGULO MINEIRO (52) | FUND COORD APERF PESSOAL NIVEL SUPERIOR (52) | INSTITUTO FEDERAL DA PARAIBA (51)
CAIXA DE FINANCIAMENTO IMOBILIARIO DA AERONAUTICA,21201,8,,COMANDO DA AERONAUTICA (78) | AGENCIA NACIONAL DE AVIACAO CIVIL (56) | FUNDACAO CASA DE RUI BARBOSA (55)
ASSEMBLEIA LEGISLATIVA - RIO DE JANEIRO,99607,8,,INSTITUTO FEDERAL DO RIO DE JANEIRO (65) | UNIVERSIDADE DO RIO DE JANEIRO (64) | UNIVERSIDADE FEDERAL DO RIO DE JANEIRO (62)
MINISTERIO DA INFRAESTRUTURA,49000,8,,MINISTERIO DA SAUDE (81) | MINISTERIO DA DEFESA (79) | MINISTERIO DA CULTURA (78)
EMPRESA DE PESQUISA ENERGETICA,32314,8,,INSTITUTO DE PESQUISA ECONOMICA APLICADA (57) | PRESIDENCIA DA REPUBLICA (56) | COMISSAO NACIONAL DE ENERGIA NUCLEAR (55)
TRIBUNAL REGIONAL FEDERAL,99028,8,,INSTITUTO FEDERAL DE GOIAS (63) | INSTITUTO FEDERAL GOIANO (61) | INSTITUTO FEDERAL DE SANTA CATARINA (60)
GOVERNO DO ESTADO DA PARAIBA,94520,7,,UNIV. FEDERAL DO DELTA DO PARNAIBA (61) | UNIVERSIDADE FEDERAL DA PARAIBA (61) | INSTITUTO FEDERAL DA PARAIBA (61)
TRIBUNAL REGIONAL ELEITORAL - MA,99027,7,,MIN DA INTEG E DO DESENV REGIONAL (55) | UNIV. FEDERAL DO DELTA DO PARNAIBA (51) | UNIVERSIDADE FEDERAL DE SANTA MARIA (51)
TRIBUNAL REGIONAL ELEITORAL - PA,99029,7,,MIN DA INTEG E DO DESENV REGIONAL (55) | UNIV. FEDERAL DO DELTA DO PARNAIBA (54) | MINISTERIO DO TRABALHO E PREVIDENCIA (53)
GOVERNO DO ESTADO DE ALAGOAS,94720,7,,UNIVERSIDADE FEDERAL DE ALAGOAS (61) | INSTITUTO FEDERAL DE ALAGOAS (61) | INSTITUTO FEDERAL DO RIO GRANDE DO NORTE (55)
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,45282,7,,INSTITUTO NACIONAL DE SEGURO SOCIAL (68) | FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO (65) | AGENCIA NACIONAL DE AGUAS (61)
PREFEITURA MUNICIPAL DE FORTALEZA - CE,99040,7,,DEPTO. DE POLICIA RODOVIARIA FEDERAL (51) | DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS (49) | FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA (49)
GOVERNO DO ESTADO DO ACRE,93120,6,,INSTITUTO FEDERAL DO ACRE (60) | UNIVERSIDADE FEDERAL DO ACRE (56) | COMANDO DO EXERCITO (54)
HOSPITAL NOSSA SENHORA DA CONCEICAO,36210,6,,MINISTERIO DAS COMUNICACOES (52) | AGENCIA NACIONAL DE SAUDE SUPLEMENTAR (50) | COMISSAO DE VALORES MOBILIARIOS (48)
MINISTERIO DA ECONOMIA,17000,6,,MINISTERIO DA SAUDE (81) | MINISTERIO DA FAZENDA (79) | MINISTERIO DA DEFESA (79)
