uf,grupo_nucleo,n_ativos,ano
RS,IF,2573,2016
RO,,1202,2016
RS,UNIV,11143,2016
SE,,1026,2016
,INSS,11946,2016
RO,UNIV,1256,2016
RJ,IF,2189,2016
MG,IF,6836,2016
PA,IF,2083,2016
MA,IF,2827,2016
PA,,1967,2016
AL,IF,1503,2016
,IBGE,3365,2016
PR,UNIV,9779,2016
AC,IF,592,2016
SP,,5920,2016
MG,INSS,2732,2016
PE,UNIV,8680,2016
AM,,1620,2016
RJ,,8001,2016
PR,,2415,2016
RJ,UNIV,18202,2016
AM,UNIV,3094,2016
SE,UNIV,2855,2016
ES,,1165,2016
BA,IBGE,182,2016
BA,,6549,2016
RJ,IBGE,262,2016
PE,INSS,1064,2016
RO,IF,902,2016
SC,IF,2471,2016
BA,INSS,1588,2016
RN,IF,2511,2016
MT,INSS,284,2016
TO,IF,1156,2016
MT,,1536,2016
RR,,699,2016
ES,IBGE,62,2016
PI,INSS,424,2016
MT,IBGE,51,2016
MS,INSS,228,2016
SP,IF,4114,2016
CE,IBGE,116,2016
RJ,INSS,2393,2016
AM,IF,1779,2016
PA,INSS,340,2016
ES,UNIV,3864,2016
SC,INSS,1192,2016
TO,UNIV,1915,2016
PI,,2153,2016
AC,UNIV,1443,2016
AP,UNIV,1206,2016
SE,IF,1506,2016
ES,INSS,573,2016
PI,UNIV,3506,2016
AC,,476,2016
RR,IF,659,2016
MA,,1513,2016
DF,INSS,425,2016
AL,INSS,515,2016
RN,INSS,229,2016
MS,IF,847,2016
AL,,786,2016
CE,INSS,1136,2016
RS,INSS,1594,2016
PR,IF,1976,2016
SP,IBGE,344,2016
TO,INSS,74,2016
PB,INSS,586,2016
AP,IF,501,2016
DF,IF,1015,2016
AL,IBGE,54,2016
SE,INSS,256,2016
AC,INSS,15,2016
AM,INSS,287,2016
PR,INSS,1261,2016
MG,IBGE,291,2016
RO,INSS,166,2016
PE,IBGE,88,2016
RS,IBGE,149,2016
GO,IBGE,68,2016
PR,IBGE,155,2016
SC,IBGE,72,2016
AP,INSS,62,2016
GO,INSS,608,2016
SE,IBGE,42,2016
MA,IBGE,82,2016
PB,IBGE,63,2016
RO,IBGE,24,2016
RN,IBGE,37,2016
TO,IBGE,25,2016
AM,IBGE,25,2016
MS,IBGE,53,2016
PA,IBGE,52,2016
DF,IBGE,33,2016
PI,IBGE,54,2016
RR,IBGE,5,2016
AC,IBGE,9,2016
RR,INSS,7,2016
BA,IF,11,2016
AP,IBGE,2,2016
CE,IF,3268,2017
PA,UNIV,7068,2017
PB,,3441,2017
,,154779,2017
AP,,1416,2017
PI,IF,3958,2017
RR,UNIV,1002,2017
MG,UNIV,23373,2017
MS,UNIV,4701,2017
DF,,2390,2017
GO,UNIV,5040,2017
,UNIV,23931,2017
DF,UNIV,5273,2017
,IF,2137,2017
RS,,4084,2017
MT,IF,1868,2017
GO,IF,2005,2017
SC,UNIV,5952,2017
CE,UNIV,5988,2017
GO,,1514,2017
PE,IF,2406,2017
PB,UNIV,9268,2017
PE,,2770,2017
CE,,2316,2017
AL,UNIV,3311,2017
ES,IF,2834,2017
RN,UNIV,5355,2017
MG,,4230,2017
SP,INSS,4678,2017
TO,,636,2017
MA,INSS,510,2017
RN,,814,2017
SC,,3253,2017
MT,UNIV,3398,2017
BA,UNIV,8264,2017
RS,IF,2747,2017
RO,,1084,2017
RS,UNIV,11072,2017
,INSS,11130,2017
RO,UNIV,1235,2017
RJ,IF,2222,2017
MG,IF,6944,2017
PA,IF,2606,2017
MA,IF,3016,2017
PA,,2129,2017
AL,IF,1700,2017
,IBGE,3141,2017
PR,UNIV,9631,2017
AC,IF,669,2017
MG,INSS,2682,2017
PE,UNIV,8711,2017
AM,,1572,2017
MS,,985,2017
PR,,2408,2017
RJ,UNIV,18320,2017
AM,UNIV,3224,2017
SE,UNIV,2843,2017
BA,,6380,2017
RJ,IBGE,236,2017
PE,INSS,1020,2017
SP,UNIV,6813,2017
RO,IF,992,2017
SC,IF,2573,2017
BA,INSS,1587,2017
RN,IF,2484,2017
MT,INSS,284,2017
TO,IF,1189,2017
RJ,,6501,2017
RR,,653,2017
ES,IBGE,56,2017
MT,,1379,2017
PI,INSS,427,2017
ES,,1130,2017
MA,UNIV,3433,2017
SP,,5680,2017
MT,IBGE,44,2017
MS,INSS,221,2017
SP,IF,4395,2017
CE,IBGE,115,2017
RJ,INSS,2250,2017
PA,INSS,379,2017
AM,IF,1841,2017
ES,UNIV,3830,2017
SC,INSS,1154,2017
TO,UNIV,1937,2017
PI,,2219,2017
AC,UNIV,1454,2017
AP,UNIV,1295,2017
SE,,855,2017
SE,IF,1344,2017
ES,INSS,527,2017
PI,UNIV,3527,2017
AC,,374,2017
RR,IF,643,2017
MA,,1437,2017
AL,INSS,492,2017
MS,IF,1111,2017
AL,,722,2017
CE,INSS,1144,2017
RS,INSS,1593,2017
PR,IF,2137,2017
SP,IBGE,334,2017
TO,INSS,77,2017
PB,INSS,563,2017
AP,IF,547,2017
DF,IF,972,2017
RN,INSS,219,2017
DF,INSS,351,2017
AL,IBGE,49,2017
SE,INSS,261,2017
AM,INSS,291,2017
PR,INSS,1227,2017
MG,IBGE,275,2017
RO,INSS,170,2017
PE,IBGE,86,2017
BA,IBGE,164,2017
GO,IBGE,67,2017
RS,IBGE,135,2017
PR,IBGE,163,2017
SC,IBGE,74,2017
GO,INSS,644,2017
SE,IBGE,40,2017
MA,IBGE,87,2017
PB,IBGE,56,2017
RO,IBGE,23,2017
RN,IBGE,40,2017
MS,IBGE,52,2017
AP,INSS,76,2017
TO,IBGE,26,2017
AM,IBGE,25,2017
PI,IBGE,56,2017
AC,INSS,19,2017
DF,IBGE,25,2017
PA,IBGE,57,2017
AC,IBGE,9,2017
RR,INSS,5,2017
BA,IF,10,2017
AP,IBGE,2,2017
RR,IBGE,4,2017
CE,IF,3338,2018
PA,UNIV,7131,2018
PB,,3331,2018
,,149315,2018
AP,,1271,2018
PI,IF,4117,2018
MG,UNIV,23830,2018
MS,UNIV,4804,2018
DF,,2215,2018
GO,UNIV,5191,2018
,UNIV,23870,2018
DF,UNIV,5319,2018
,IF,2169,2018
RS,,3976,2018
MT,IF,1866,2018
GO,IF,2019,2018
SC,UNIV,5878,2018
CE,UNIV,6040,2018
PE,IF,2324,2018
BA,UNIV,8736,2018
PB,UNIV,9249,2018
CE,,2180,2018
PE,,2611,2018
AL,UNIV,3325,2018
ES,IF,2854,2018
MG,,4057,2018
SP,INSS,4338,2018
TO,,594,2018
MA,INSS,495,2018
RN,,777,2018
SC,,3141,2018
MT,UNIV,3451,2018
RS,IF,2946,2018
RS,UNIV,11024,2018
,INSS,10290,2018
RO,UNIV,1264,2018
RJ,IF,2207,2018
MG,IF,7134,2018
PA,IF,2679,2018
MA,IF,3038,2018
PA,,1927,2018
AL,IF,1790,2018
,IBGE,2906,2018
PI,UNIV,3628,2018
PR,UNIV,9525,2018
AC,IF,726,2018
GO,,1471,2018
MG,INSS,2522,2018
PE,UNIV,8693,2018
MS,,971,2018
PR,,2292,2018
RJ,UNIV,18654,2018
AM,UNIV,3208,2018
SE,UNIV,2910,2018
BA,,6433,2018
AM,,1468,2018
RJ,IBGE,160,2018
SP,UNIV,6736,2018
DF,IF,1187,2018
SC,IF,2630,2018
BA,INSS,1501,2018
RN,IF,2637,2018
TO,IF,1213,2018
RJ,,5675,2018
RO,IF,1051,2018
RR,,615,2018
ES,IBGE,51,2018
PE,INSS,980,2018
MT,,1184,2018
PI,INSS,422,2018
MA,UNIV,3495,2018
SP,,5863,2018
RN,UNIV,5386,2018
