ano,uf,n_ativos,lente,publicavel,populacao,A_raw,janela
2020,MT,231,exclusivos,False,3526220.0,,2014-2022
2021,MT,216,exclusivos,False,3567234.0,,2014-2022
2022,MT,199,exclusivos,False,,,2014-2022
2023,MT,383,exclusivos,True,,,2023-2025
2024,MT,377,exclusivos,True,3836399.0,0.98,2023-2025
2025,MT,401,exclusivos,True,3893659.0,1.03,2023-2025
2014,PA,418,exclusivos,False,8073924.0,,2014-2022
2015,PA,398,exclusivos,False,8175113.0,,2014-2022
2016,PA,392,exclusivos,False,8272724.0,,2014-2022
2017,PA,436,exclusivos,False,8366628.0,,2014-2022
2018,PA,417,exclusivos,False,8513497.0,,2014-2022
2019,PA,336,exclusivos,False,8602865.0,,2014-2022
2020,PA,320,exclusivos,False,8690745.0,,2014-2022
2021,PA,299,exclusivos,False,8777124.0,,2014-2022
2022,PA,299,exclusivos,False,,,2014-2022
2023,PA,1063,exclusivos,True,,,2023-2025
2024,PA,1017,exclusivos,True,8664306.0,1.17,2023-2025
2025,PA,1018,exclusivos,True,8711196.0,1.17,2023-2025
2014,PB,672,exclusivos,False,3943885.0,,2014-2022
2015,PB,655,exclusivos,False,3972202.0,,2014-2022
2016,PB,649,exclusivos,False,3999415.0,,2014-2022
2017,PB,619,exclusivos,False,4025558.0,,2014-2022
2018,PB,580,exclusivos,False,3996496.0,,2014-2022
2019,PB,399,exclusivos,False,4018127.0,,2014-2022
2020,PB,351,exclusivos,False,4039277.0,,2014-2022
2021,PB,326,exclusivos,False,4059905.0,,2014-2022
2022,PB,301,exclusivos,False,,,2014-2022
2023,PB,558,exclusivos,True,,,2023-2025
2024,PB,522,exclusivos,True,4145040.0,1.26,2023-2025
2025,PB,542,exclusivos,True,4164468.0,1.3,2023-2025
2014,PE,1184,exclusivos,False,9277727.0,,2014-2022
2015,PE,1154,exclusivos,False,9345173.0,,2014-2022
2016,PE,1152,exclusivos,False,9410336.0,,2014-2022
2017,PE,1106,exclusivos,False,9473266.0,,2014-2022
2018,PE,1050,exclusivos,False,9496294.0,,2014-2022
2019,PE,796,exclusivos,False,9557071.0,,2014-2022
2020,PE,800,exclusivos,False,9616621.0,,2014-2022
2021,PE,729,exclusivos,False,9674793.0,,2014-2022
2022,PE,651,exclusivos,False,,,2014-2022
2023,PE,2105,exclusivos,True,,,2023-2025
2024,PE,2100,exclusivos,True,9539029.0,2.2,2023-2025
2025,PE,2052,exclusivos,True,9562007.0,2.15,2023-2025
2014,PI,496,exclusivos,False,3194718.0,,2014-2022
2015,PI,478,exclusivos,False,3204028.0,,2014-2022
2016,PI,478,exclusivos,False,3212180.0,,2014-2022
2017,PI,483,exclusivos,False,3219257.0,,2014-2022
2018,PI,477,exclusivos,False,3264531.0,,2014-2022
2019,PI,372,exclusivos,False,3273227.0,,2014-2022
2020,PI,373,exclusivos,False,3281480.0,,2014-2022
2021,PI,348,exclusivos,False,3289290.0,,2014-2022
2022,PI,321,exclusivos,False,,,2014-2022
2023,PI,520,exclusivos,True,,,2023-2025
2024,PI,526,exclusivos,True,3375646.0,1.56,2023-2025
2025,PI,525,exclusivos,True,3384547.0,1.55,2023-2025
2014,PR,1511,exclusivos,False,11081692.0,,2014-2022
2015,PR,1459,exclusivos,False,11163018.0,,2014-2022
2016,PR,1416,exclusivos,False,11242720.0,,2014-2022
2017,PR,1390,exclusivos,False,11320892.0,,2014-2022
2018,PR,1324,exclusivos,False,11348937.0,,2014-2022
2019,PR,966,exclusivos,False,11433957.0,,2014-2022
2020,PR,934,exclusivos,False,11516840.0,,2014-2022
2021,PR,891,exclusivos,False,11597484.0,,2014-2022
2022,PR,873,exclusivos,False,,,2014-2022
2023,PR,2384,exclusivos,True,,,2023-2025
2024,PR,2320,exclusivos,True,11824665.0,1.96,2023-2025
2025,PR,2319,exclusivos,True,11890517.0,1.95,2023-2025
2014,RJ,2889,exclusivos,False,16461173.0,,2014-2022
2015,RJ,2768,exclusivos,False,16550024.0,,2014-2022
2016,RJ,2655,exclusivos,False,16635996.0,,2014-2022
2017,RJ,2486,exclusivos,False,16718956.0,,2014-2022
2018,RJ,2169,exclusivos,False,17159960.0,,2014-2022
2019,RJ,1411,exclusivos,False,17264943.0,,2014-2022
2020,RJ,1244,exclusivos,False,17366189.0,,2014-2022
2021,RJ,1077,exclusivos,False,17463349.0,,2014-2022
2022,RJ,942,exclusivos,False,,,2014-2022
2023,RJ,4354,exclusivos,True,,,2023-2025
2024,RJ,4337,exclusivos,True,17219679.0,2.52,2023-2025
2025,RJ,4447,exclusivos,True,17223547.0,2.58,2023-2025
2014,RN,283,exclusivos,False,3408510.0,,2014-2022
2015,RN,275,exclusivos,False,3442175.0,,2014-2022
2016,RN,266,exclusivos,False,3474998.0,,2014-2022
2017,RN,259,exclusivos,False,3507003.0,,2014-2022
2018,RN,247,exclusivos,False,3479010.0,,2014-2022
2019,RN,192,exclusivos,False,3506853.0,,2014-2022
2020,RN,183,exclusivos,False,3534165.0,,2014-2022
2021,RN,166,exclusivos,False,3560903.0,,2014-2022
2022,RN,167,exclusivos,False,,,2014-2022
2023,RN,493,exclusivos,True,,,2023-2025
2024,RN,472,exclusivos,True,3446071.0,1.37,2023-2025
2025,RN,473,exclusivos,True,3455236.0,1.37,2023-2025
2014,RO,207,exclusivos,False,1748531.0,,2014-2022
2015,RO,197,exclusivos,False,1768204.0,,2014-2022
2016,RO,190,exclusivos,False,1787279.0,,2014-2022
2017,RO,193,exclusivos,False,1805788.0,,2014-2022
2018,RO,179,exclusivos,False,1757589.0,,2014-2022
2019,RO,111,exclusivos,False,1777225.0,,2014-2022
2020,RO,103,exclusivos,False,1796460.0,,2014-2022
2021,RO,104,exclusivos,False,1815278.0,,2014-2022
2022,RO,85,exclusivos,False,,,2014-2022
2023,RO,273,exclusivos,True,,,2023-2025
2024,RO,288,exclusivos,True,1746227.0,1.65,2023-2025
2025,RO,288,exclusivos,True,1751950.0,1.64,2023-2025
2014,RR,21,exclusivos,False,496936.0,,2014-2022
2015,RR,18,exclusivos,False,505665.0,,2014-2022
2016,RR,12,exclusivos,False,514229.0,,2014-2022
2017,RR,9,exclusivos,False,522636.0,,2014-2022
2018,RR,8,exclusivos,False,576568.0,,2014-2022
2019,RR,8,exclusivos,False,605761.0,,2014-2022
2020,RR,6,exclusivos,False,631181.0,,2014-2022
2021,RR,6,exclusivos,False,652713.0,,2014-2022
2022,RR,28,exclusivos,False,,,2014-2022
2023,RR,132,exclusivos,True,,,2023-2025
2024,RR,147,exclusivos,True,716793.0,2.05,2023-2025
2025,RR,161,exclusivos,True,738772.0,2.18,2023-2025
2014,RS,1823,exclusivos,False,11207274.0,,2014-2022
2015,RS,1766,exclusivos,False,11247972.0,,2014-2022
2016,RS,1743,exclusivos,False,11286500.0,,2014-2022
2017,RS,1728,exclusivos,False,11322895.0,,2014-2022
2018,RS,1633,exclusivos,False,11329605.0,,2014-2022
2019,RS,1211,exclusivos,False,11377239.0,,2014-2022
2020,RS,1154,exclusivos,False,11422973.0,,2014-2022
2021,RS,1002,exclusivos,False,11466630.0,,2014-2022
2022,RS,1069,exclusivos,False,,,2014-2022
2023,RS,2573,exclusivos,True,,,2023-2025
2024,RS,2602,exclusivos,True,11229915.0,2.32,2023-2025
2025,RS,2595,exclusivos,True,11233263.0,2.31,2023-2025
2014,SC,1364,exclusivos,False,6727148.0,,2014-2022
2015,SC,1318,exclusivos,False,6819190.0,,2014-2022
2016,SC,1264,exclusivos,False,6910553.0,,2014-2022
2017,SC,1228,exclusivos,False,7001161.0,,2014-2022
2018,SC,1154,exclusivos,False,7075494.0,,2014-2022
2019,SC,805,exclusivos,False,7164788.0,,2014-2022
2020,SC,761,exclusivos,False,7252502.0,,2014-2022
2021,SC,731,exclusivos,False,7338473.0,,2014-2022
2022,SC,694,exclusivos,False,,,2014-2022
2023,SC,1684,exclusivos,True,,,2023-2025
2024,SC,1697,exclusivos,True,8058441.0,2.11,2023-2025
2025,SC,1696,exclusivos,True,8187029.0,2.07,2023-2025
2014,SE,308,exclusivos,False,2219574.0,,2014-2022
2015,SE,304,exclusivos,False,2242937.0,,2014-2022
2016,SE,298,exclusivos,False,2265779.0,,2014-2022
2017,SE,301,exclusivos,False,2288116.0,,2014-2022
2018,SE,277,exclusivos,False,2278308.0,,2014-2022
2019,SE,195,exclusivos,False,2298696.0,,2014-2022
2020,SE,204,exclusivos,False,2318822.0,,2014-2022
2021,SE,193,exclusivos,False,2338474.0,,2014-2022
2022,SE,157,exclusivos,False,,,2014-2022
2023,SE,359,exclusivos,True,,,2023-2025
2024,SE,352,exclusivos,True,2291077.0,1.54,2023-2025
2025,SE,336,exclusivos,True,2299425.0,1.46,2023-2025
2014,SP,5563,exclusivos,False,44035304.0,,2014-2022
2015,SP,5341,exclusivos,False,44396484.0,,2014-2022
2016,SP,5190,exclusivos,False,44749699.0,,2014-2022
2017,SP,5012,exclusivos,False,45094866.0,,2014-2022
2018,SP,4641,exclusivos,False,45538936.0,,2014-2022
2019,SP,3320,exclusivos,False,45919049.0,,2014-2022
2020,SP,3123,exclusivos,False,46289333.0,,2014-2022
2021,SP,2941,exclusivos,False,46649132.0,,2014-2022
2022,SP,2763,exclusivos,False,,,2014-2022
2023,SP,7859,exclusivos,True,,,2023-2025
2024,SP,7772,exclusivos,True,45973194.0,1.69,2023-2025
2025,SP,7693,exclusivos,True,46081801.0,1.67,2023-2025
2014,TO,110,exclusivos,False,1496880.0,,2014-2022
2015,TO,102,exclusivos,False,1515126.0,,2014-2022
2016,TO,99,exclusivos,False,1532902.0,,2014-2022
2017,TO,103,exclusivos,False,1550194.0,,2014-2022
2018,TO,99,exclusivos,False,1555229.0,,2014-2022
2019,TO,83,exclusivos,False,1572866.0,,2014-2022
2020,TO,76,exclusivos,False,1590248.0,,2014-2022
2021,TO,68,exclusivos,False,1607363.0,,2014-2022
2022,TO,97,exclusivos,False,,,2014-2022
2023,TO,180,exclusivos,True,,,2023-2025
2024,TO,178,exclusivos,True,1577342.0,1.13,2023-2025
2025,TO,177,exclusivos,True,1586859.0,1.12,2023-2025
2014,AC,1841,nucleo,False,790101.0,,2014-2022
2015,AC,2005,nucleo,False,803513.0,,2014-2022
2016,AC,2059,nucleo,False,816687.0,,2014-2022
2017,AC,2151,nucleo,False,829619.0,,2014-2022
2018,AC,2196,nucleo,False,869265.0,,2014-2022
2019,AC,2219,nucleo,False,881935.0,,2014-2022
2020,AC,2175,nucleo,False,894470.0,,2014-2022
2021,AC,2175,nucleo,False,906876.0,,2014-2022
2022,AC,2166,nucleo,False,,,2014-2022
2023,AC,2162,nucleo,True,,,2023-2025
2024,AC,2206,nucleo,True,880631.0,25.05,2023-2025
2025,AC,2301,nucleo,True,884372.0,26.02,2023-2025
2014,AL,5230,nucleo,False,3321730.0,,2014-2022
2015,AL,5263,nucleo,False,3340932.0,,2014-2022
2016,AL,5292,nucleo,False,3358963.0,,2014-2022
2017,AL,5552,nucleo,False,3375823.0,,2014-2022
2018,AL,5560,nucleo,False,3322820.0,,2014-2022
2019,AL,5361,nucleo,False,3337357.0,,2014-2022
2020,AL,5420,nucleo,False,3351543.0,,2014-2022
2021,AL,5415,nucleo,False,3365351.0,,2014-2022
2022,AL,5396,nucleo,False,,,2014-2022
2023,AL,4352,nucleo,True,,,2023-2025
2024,AL,4345,nucleo,True,3220104.0,13.49,2023-2025
2025,AL,4320,nucleo,True,3220848.0,13.41,2023-2025
2014,AM,4674,nucleo,False,3873743.0,,2014-2022
2015,AM,5097,nucleo,False,3938336.0,,2014-2022
2016,AM,5185,nucleo,False,4001667.0,,2014-2022
2017,AM,5381,nucleo,False,4063614.0,,2014-2022
2018,AM,5315,nucleo,False,4080611.0,,2014-2022
2019,AM,5188,nucleo,False,4144597.0,,2014-2022
2020,AM,5178,nucleo,False,4207714.0,,2014-2022
2021,AM,5078,nucleo,False,4269995.0,,2014-2022
2022,AM,5084,nucleo,False,,,2014-2022
2023,AM,5431,nucleo,True,,,2023-2025
2024,AM,5487,nucleo,True,4281209.0,12.82,2023-2025
2025,AM,5458,nucleo,True,4321616.0,12.63,2023-2025
2014,AP,1432,nucleo,False,750912.0,,2014-2022
2015,AP,1448,nucleo,False,766679.0,,2014-2022
2016,AP,1771,nucleo,False,782295.0,,2014-2022
2017,AP,1920,nucleo,False,797722.0,,2014-2022
2018,AP,2050,nucleo,False,829494.0,,2014-2022
2019,AP,1979,nucleo,False,845731.0,,2014-2022
2020,AP,1951,nucleo,False,861773.0,,2014-2022
2021,AP,1939,nucleo,False,877613.0,,2014-2022
2022,AP,1812,nucleo,False,,,2014-2022
2023,AP,1789,nucleo,True,,,2023-2025
2024,AP,1831,nucleo,True,802837.0,22.81,2023-2025
2025,AP,1936,nucleo,True,806517.0,24.0,2023-2025
2014,BA,9613,nucleo,False,15126371.0,,2014-2022
2015,BA,9901,nucleo,False,15203334.0,,2014-2022
2016,BA,10035,nucleo,False,15276566.0,,2014-2022
2017,BA,10025,nucleo,False,15344447.0,,2014-2022
2018,BA,10406,nucleo,False,14812617.0,,2014-2022
2019,BA,9939,nucleo,False,14873064.0,,2014-2022
2020,BA,9894,nucleo,False,14930634.0,,2014-2022
2021,BA,9789,nucleo,False,14985284.0,,2014-2022
2022,BA,9754,nucleo,False,,,2014-2022
2023,BA,10801,nucleo,True,,,2023-2025
2024,BA,11049,nucleo,True,14850513.0,7.44,2023-2025
2025,BA,10761,nucleo,True,14870907.0,7.24,2023-2025
2014,CE,9337,nucleo,False,8842791.0,,2014-2022
2015,CE,9627,nucleo,False,8904459.0,,2014-2022
2016,CE,10098,nucleo,False,8963663.0,,2014-2022
2017,CE,10515,nucleo,False,9020460.0,,2014-2022
2018,CE,10570,nucleo,False,9075649.0,,2014-2022
2019,CE,9981,nucleo,False,9132078.0,,2014-2022
2020,CE,9860,nucleo,False,9187103.0,,2014-2022
2021,CE,9791,nucleo,False,9240580.0,,2014-2022
2022,CE,9718,nucleo,False,,,2014-2022
2023,CE,11329,nucleo,True,,,2023-2025
2024,CE,11346,nucleo,True,9233656.0,12.29,2023-2025
2025,CE,11455,nucleo,True,9268836.0,12.36,2023-2025
2014,DF,6074,nucleo,False,2852372.0,,2014-2022
2015,DF,6394,nucleo,False,2914830.0,,2014-2022
2016,DF,6783,nucleo,False,2977216.0,,2014-2022
2017,DF,6621,nucleo,False,3039444.0,,2014-2022
2018,DF,6858,nucleo,False,2974703.0,,2014-2022
2019,DF,6940,nucleo,False,3015268.0,,2014-2022
2020,DF,6910,nucleo,False,3055149.0,,2014-2022
2021,DF,6796,nucleo,False,3094325.0,,2014-2022
2022,DF,6716,nucleo,False,,,2014-2022
2023,DF,13234,nucleo,True,,,2023-2025
2024,DF,13586,nucleo,True,2982818.0,45.55,2023-2025
2025,DF,14375,nucleo,True,2996899.0,47.97,2023-2025
2014,ES,7103,nucleo,False,3885049.0,,2014-2022
2015,ES,7080,nucleo,False,3929911.0,,2014-2022
2016,ES,7264,nucleo,False,3973697.0,,2014-2022
2017,ES,7247,nucleo,False,4016356.0,,2014-2022
2018,ES,7202,nucleo,False,3972388.0,,2014-2022
2019,ES,7038,nucleo,False,4018650.0,,2014-2022
2020,ES,6978,nucleo,False,4064052.0,,2014-2022
2021,ES,6949,nucleo,False,4108508.0,,2014-2022
2022,ES,6843,nucleo,False,,,2014-2022
2023,ES,7022,nucleo,True,,,2023-2025
2024,ES,6996,nucleo,True,4102129.0,17.05,2023-2025
2025,ES,7013,nucleo,True,4126854.0,16.99,2023-2025
2014,GO,7447,nucleo,False,6523222.0,,2014-2022
2015,GO,7521,nucleo,False,6610681.0,,2014-2022
2016,GO,7743,nucleo,False,6695855.0,,2014-2022
2017,GO,7756,nucleo,False,6778772.0,,2014-2022
2018,GO,7878,nucleo,False,6921161.0,,2014-2022
2019,GO,7645,nucleo,False,7018354.0,,2014-2022
2020,GO,7644,nucleo,False,7113540.0,,2014-2022
2021,GO,7601,nucleo,False,7206589.0,,2014-2022
2022,GO,7582,nucleo,False,,,2014-2022
2023,GO,7694,nucleo,True,,,2023-2025
2024,GO,7774,nucleo,True,7350483.0,10.58,2023-2025
2025,GO,7805,nucleo,True,7423629.0,10.51,2023-2025
2014,MA,5850,nucleo,False,6850884.0,,2014-2022
2015,MA,6226,nucleo,False,6904241.0,,2014-2022
2016,MA,6848,nucleo,False,6954036.0,,2014-2022
2017,MA,7046,nucleo,False,7000229.0,,2014-2022
2018,MA,7104,nucleo,False,7035055.0,,2014-2022
2019,MA,7147,nucleo,False,7075181.0,,2014-2022
2020,MA,7173,nucleo,False,7114598.0,,2014-2022
2021,MA,7123,nucleo,False,7153262.0,,2014-2022
2022,MA,7085,nucleo,False,,,2014-2022
2023,MA,7220,nucleo,True,,,2023-2025
2024,MA,7209,nucleo,True,7010960.0,10.28,2023-2025
2025,MA,7140,nucleo,True,7018211.0,10.17,2023-2025
2014,MG,32352,nucleo,False,20734097.0,,2014-2022
2015,MG,32588,nucleo,False,20869101.0,,2014-2022
2016,MG,33075,nucleo,False,20997560.0,,2014-2022
2017,MG,33274,nucleo,False,21119536.0,,2014-2022
2018,MG,33754,nucleo,False,21040662.0,,2014-2022
2019,MG,32820,nucleo,False,21168791.0,,2014-2022
2020,MG,32691,nucleo,False,21292666.0,,2014-2022
2021,MG,32311,nucleo,False,21411923.0,,2014-2022
2022,MG,32018,nucleo,False,,,2014-2022
2023,MG,37016,nucleo,True,,,2023-2025
2024,MG,37091,nucleo,True,21322691.0,17.4,2023-2025
2025,MG,38786,nucleo,True,21393441.0,18.13,2023-2025
2014,MS,5553,nucleo,False,2619657.0,,2014-2022
2015,MS,5683,nucleo,False,2651235.0,,2014-2022
2016,MS,5900,nucleo,False,2682386.0,,2014-2022
2017,MS,6085,nucleo,False,2713147.0,,2014-2022
2018,MS,6181,nucleo,False,2748023.0,,2014-2022
2019,MS,6149,nucleo,False,2778986.0,,2014-2022
2020,MS,6107,nucleo,False,2809394.0,,2014-2022
2021,MS,6034,nucleo,False,2839188.0,,2014-2022
2022,MS,5935,nucleo,False,,,2014-2022
2023,MS,6286,nucleo,True,,,2023-2025
2024,MS,6263,nucleo,True,2901895.0,21.58,2023-2025
2025,MS,6307,nucleo,True,2924631.0,21.57,2023-2025
2014,MT,5271,nucleo,False,3224357.0,,2014-2022
2015,MT,5308,nucleo,False,3265486.0,,2014-2022
2016,MT,5512,nucleo,False,3305531.0,,2014-2022
2017,MT,5594,nucleo,False,3344544.0,,2014-2022
2018,MT,5619,nucleo,False,3441998.0,,2014-2022
2019,MT,5461,nucleo,False,3484466.0,,2014-2022
2020,MT,5370,nucleo,False,3526220.0,,2014-2022
2021,MT,5347,nucleo,False,3567234.0,,2014-2022
2022,MT,5366,nucleo,False,,,2014-2022
2023,MT,5544,nucleo,True,,,2023-2025
2024,MT,5571,nucleo,True,3836399.0,14.52,2023-2025
2025,MT,5651,nucleo,True,3893659.0,14.51,2023-2025
2014,PA,8322,nucleo,False,8073924.0,,2014-2022
2015,PA,8478,nucleo,False,8175113.0,,2014-2022
2016,PA,9197,nucleo,False,8272724.0,,2014-2022
2017,PA,10110,nucleo,False,8366628.0,,2014-2022
2018,PA,10227,nucleo,False,8513497.0,,2014-2022
2019,PA,10243,nucleo,False,8602865.0,,2014-2022
2020,PA,10086,nucleo,False,8690745.0,,2014-2022
2021,PA,9770,nucleo,False,8777124.0,,2014-2022
2022,PA,9886,nucleo,False,,,2014-2022
2023,PA,11084,nucleo,True,,,2023-2025
2024,PA,11274,nucleo,True,8664306.0,13.01,2023-2025
2025,PA,11340,nucleo,True,8711196.0,13.02,2023-2025
2014,PB,10029,nucleo,False,3943885.0,,2014-2022
2015,PB,9908,nucleo,False,3972202.0,,2014-2022
2016,PB,9911,nucleo,False,3999415.0,,2014-2022
2017,PB,9887,nucleo,False,4025558.0,,2014-2022
2018,PB,9829,nucleo,False,3996496.0,,2014-2022
2019,PB,9324,nucleo,False,4018127.0,,2014-2022
2020,PB,9495,nucleo,False,4039277.0,,2014-2022
2021,PB,9385,nucleo,False,4059905.0,,2014-2022
2022,PB,9138,nucleo,False,,,2014-2022
2023,PB,9052,nucleo,True,,,2023-2025
2024,PB,9050,nucleo,True,4145040.0,21.83,2023-2025
2025,PB,9211,nucleo,True,4164468.0,22.12,2023-2025
2014,PE,12342,nucleo,False,9277727.0,,2014-2022
2015,PE,12510,nucleo,False,9345173.0,,2014-2022
2016,PE,12113,nucleo,False,9410336.0,,2014-2022
2017,PE,12223,nucleo,False,9473266.0,,2014-2022
2018,PE,12067,nucleo,False,9496294.0,,2014-2022
2019,PE,11664,nucleo,False,9557071.0,,2014-2022
2020,PE,11827,nucleo,False,9616621.0,,2014-2022
2021,PE,11718,nucleo,False,9674793.0,,2014-2022
2022,PE,11616,nucleo,False,,,2014-2022
2023,PE,13485,nucleo,True,,,2023-2025
2024,PE,13799,nucleo,True,9539029.0,14.47,2023-2025
2025,PE,13925,nucleo,True,9562007.0,14.56,2023-2025
2014,PI,6921,nucleo,False,3194718.0,,2014-2022
2015,PI,7251,nucleo,False,3204028.0,,2014-2022
2016,PI,7594,nucleo,False,3212180.0,,2014-2022
2017,PI,7968,nucleo,False,3219257.0,,2014-2022
2018,PI,8222,nucleo,False,3264531.0,,2014-2022
2019,PI,8160,nucleo,False,3273227.0,,2014-2022
2020,PI,8202,nucleo,False,3281480.0,,2014-2022
2021,PI,8201,nucleo,False,3289290.0,,2014-2022
2022,PI,8111,nucleo,False,,,2014-2022
2023,PI,6307,nucleo,True,,,2023-2025
2024,PI,6346,nucleo,True,3375646.0,18.8,2023-2025
2025,PI,6295,nucleo,True,3384547.0,18.6,2023-2025
2014,PR,12580,nucleo,False,11081692.0,,2014-2022
2015,PR,13074,nucleo,False,11163018.0,,2014-2022
2016,PR,13171,nucleo,False,11242720.0,,2014-2022
2017,PR,13158,nucleo,False,11320892.0,,2014-2022
2018,PR,13099,nucleo,False,11348937.0,,2014-2022
2019,PR,12575,nucleo,False,11433957.0,,2014-2022
2020,PR,12356,nucleo,False,11516840.0,,2014-2022
2021,PR,12182,nucleo,False,11597484.0,,2014-2022
2022,PR,12328,nucleo,False,,,2014-2022
2023,PR,14295,nucleo,True,,,2023-2025
2024,PR,14422,nucleo,True,11824665.0,12.2,2023-2025
2025,PR,14461,nucleo,True,11890517.0,12.16,2023-2025
2014,RJ,22703,nucleo,False,16461173.0,,2014-2022
2015,RJ,22568,nucleo,False,16550024.0,,2014-2022
2016,RJ,23046,nucleo,False,16635996.0,,2014-2022
2017,RJ,23028,nucleo,False,16718956.0,,2014-2022
2018,RJ,23030,nucleo,False,17159960.0,,2014-2022
2019,RJ,21768,nucleo,False,17264943.0,,2014-2022
2020,RJ,21281,nucleo,False,17366189.0,,2014-2022
2021,RJ,20863,nucleo,False,17463349.0,,2014-2022
2022,RJ,20469,nucleo,False,,,2014-2022
2023,RJ,31602,nucleo,True,,,2023-2025
2024,RJ,32269,nucleo,True,17219679.0,18.74,2023-2025
2025,RJ,32015,nucleo,True,17223547.0,18.59,2023-2025
2014,RN,8047,nucleo,False,3408510.0,,2014-2022
2015,RN,8130,nucleo,False,3442175.0,,2014-2022
2016,RN,8274,nucleo,False,3474998.0,,2014-2022
2017,RN,8098,nucleo,False,3507003.0,,2014-2022
2018,RN,8270,nucleo,False,3479010.0,,2014-2022
2019,RN,8154,nucleo,False,3506853.0,,2014-2022
2020,RN,8169,nucleo,False,3534165.0,,2014-2022
2021,RN,8166,nucleo,False,3560903.0,,2014-2022
2022,RN,8089,nucleo,False,,,2014-2022
2023,RN,9450,nucleo,True,,,2023-2025
2024,RN,9365,nucleo,True,3446071.0,27.18,2023-2025
2025,RN,9369,nucleo,True,3455236.0,27.12,2023-2025
2014,RO,2142,nucleo,False,1748531.0,,2014-2022
2015,RO,2222,nucleo,False,1768204.0,,2014-2022
2016,RO,2348,nucleo,False,1787279.0,,2014-2022
2017,RO,2420,nucleo,False,1805788.0,,2014-2022
2018,RO,2494,nucleo,False,1757589.0,,2014-2022
2019,RO,2456,nucleo,False,1777225.0,,2014-2022
2020,RO,2545,nucleo,False,1796460.0,,2014-2022
2021,RO,2536,nucleo,False,1815278.0,,2014-2022
2022,RO,2555,nucleo,False,,,2014-2022
2023,RO,1660,nucleo,True,,,2023-2025
2024,RO,1786,nucleo,True,1746227.0,10.23,2023-2025
2025,RO,1787,nucleo,True,1751950.0,10.2,2023-2025
2014,RR,1501,nucleo,False,496936.0,,2014-2022
2015,RR,1548,nucleo,False,505665.0,,2014-2022
2016,RR,1644,nucleo,False,514229.0,,2014-2022
2017,RR,1654,nucleo,False,522636.0,,2014-2022
2018,RR,1650,nucleo,False,576568.0,,2014-2022
2019,RR,1641,nucleo,False,605761.0,,2014-2022
2020,RR,1586,nucleo,False,631181.0,,2014-2022
2021,RR,1607,nucleo,False,652713.0,,2014-2022
2022,RR,1639,nucleo,False,,,2014-2022
2023,RR,1784,nucleo,True,,,2023-2025
2024,RR,1830,nucleo,True,716793.0,25.53,2023-2025
2025,RR,1918,nucleo,True,738772.0,25.96,2023-2025
2014,RS,15369,nucleo,False,11207274.0,,2014-2022
2015,RS,15594,nucleo,False,11247972.0,,2014-2022
2016,RS,15459,nucleo,False,11286500.0,,2014-2022
2017,RS,15547,nucleo,False,11322895.0,,2014-2022
2018,RS,15603,nucleo,False,11329605.0,,2014-2022
2019,RS,15093,nucleo,False,11377239.0,,2014-2022
2020,RS,14944,nucleo,False,11422973.0,,2014-2022
2021,RS,14753,nucleo,False,11466630.0,,2014-2022
2022,RS,14615,nucleo,False,,,2014-2022
2023,RS,21106,nucleo,True,,,2023-2025
2024,RS,20952,nucleo,True,11229915.0,18.66,2023-2025
2025,RS,21091,nucleo,True,11233263.0,18.78,2023-2025
2014,SC,9112,nucleo,False,6727148.0,,2014-2022
2015,SC,9425,nucleo,False,6819190.0,,2014-2022
2016,SC,9657,nucleo,False,6910553.0,,2014-2022
2017,SC,9753,nucleo,False,7001161.0,,2014-2022
2018,SC,9662,nucleo,False,7075494.0,,2014-2022
2019,SC,9246,nucleo,False,7164788.0,,2014-2022
2020,SC,9169,nucleo,False,7252502.0,,2014-2022
2021,SC,9111,nucleo,False,7338473.0,,2014-2022
2022,SC,8963,nucleo,False,,,2014-2022
2023,SC,10155,nucleo,True,,,2023-2025
2024,SC,10229,nucleo,True,8058441.0,12.69,2023-2025
2025,SC,10192,nucleo,True,8187029.0,12.45,2023-2025
2014,SE,4570,nucleo,False,2219574.0,,2014-2022
2015,SE,4660,nucleo,False,2242937.0,,2014-2022
2016,SE,4659,nucleo,False,2265779.0,,2014-2022
2017,SE,4488,nucleo,False,2288116.0,,2014-2022
2018,SE,4485,nucleo,False,2278308.0,,2014-2022
2019,SE,4343,nucleo,False,2298696.0,,2014-2022
2020,SE,4345,nucleo,False,2318822.0,,2014-2022
2021,SE,4328,nucleo,False,2338474.0,,2014-2022
2022,SE,4314,nucleo,False,,,2014-2022
2023,SE,4341,nucleo,True,,,2023-2025
2024,SE,4439,nucleo,True,2291077.0,19.38,2023-2025
2025,SE,4624,nucleo,True,2299425.0,20.11,2023-2025
2014,SP,15393,nucleo,False,44035304.0,,2014-2022
2015,SP,15399,nucleo,False,44396484.0,,2014-2022
2016,SP,16091,nucleo,False,44749699.0,,2014-2022
2017,SP,16220,nucleo,False,45094866.0,,2014-2022
2018,SP,15851,nucleo,False,45538936.0,,2014-2022
2019,SP,14710,nucleo,False,45919049.0,,2014-2022
2020,SP,14515,nucleo,False,46289333.0,,2014-2022
2021,SP,14303,nucleo,False,46649132.0,,2014-2022
2022,SP,14000,nucleo,False,,,2014-2022
2023,SP,20941,nucleo,True,,,2023-2025
2024,SP,20775,nucleo,True,45973194.0,4.52,2023-2025
