uf,nome,regiao,lente,populacao,n_ativos,n_ativos_base_b,n_abono,A_raw,B_raw,A_pct,B_pct,quadrante,classe,gravidade,posicao,flags
MS,Mato Grosso do Sul,Centro-Oeste,nucleo,2924631,6307,6307,452,21.57,0.0717,76.9,15.4,presenca_consolidada,Presença consolidada,19.2,22,
TO,Tocantins,Norte,nucleo,1586859,3376,3376,92,21.27,0.0273,73.1,3.8,presenca_consolidada,Presença consolidada,15.4,23,
AC,Acre,Norte,nucleo,884372,2301,2300,177,26.02,0.077,92.3,23.1,presenca_consolidada,Presença consolidada,15.4,23,
DF,Distrito Federal,Centro-Oeste,nucleo,2996899,14375,14374,1135,47.97,0.079,100.0,26.9,presenca_consolidada,Presença consolidada,13.4,25,
AP,Amapá,Norte,nucleo,806517,1936,1936,86,24.0,0.0444,84.6,7.7,presenca_consolidada,Presença consolidada,11.6,26,
RN,Rio Grande do Norte,Nordeste,nucleo,3455236,9369,9369,241,27.12,0.0257,96.2,0.0,presenca_consolidada,Presença consolidada,1.9,27,
MA,Maranhão,Nordeste,total,7018211,8411,8075,1780,11.98,0.2204,7.7,100.0,deserto_critico,Deserto crítico,96.2,1,
RO,Rondônia,Norte,total,1751950,2667,2505,527,15.22,0.2104,23.1,92.3,deserto_critico,Deserto crítico,84.6,2,
BA,Bahia,Nordeste,total,14870907,17718,17419,3144,11.91,0.1805,3.8,73.1,deserto_critico,Deserto crítico,84.6,2,
AL,Alagoas,Nordeste,total,3220848,4990,4896,970,15.49,0.1981,26.9,88.5,deserto_critico,Deserto crítico,80.8,4,
PA,Pará,Norte,total,8711196,14112,13478,2576,16.2,0.1911,30.8,84.6,deserto_critico,Deserto crítico,76.9,5,
CE,Ceará,Nordeste,total,9268836,13367,12525,2130,14.42,0.1701,19.2,61.5,deserto_critico,Deserto crítico,71.2,6,
SP,São Paulo,Sudeste,total,46081801,27789,26531,3648,6.03,0.1375,0.0,42.3,deserto_estavel,Deserto estável,71.2,6,
PE,Pernambuco,Nordeste,total,9562007,17047,16553,3154,17.83,0.1905,46.2,80.8,deserto_critico,Deserto crítico,67.3,8,
GO,Goiás,Centro-Oeste,total,7423629,10325,9762,1416,13.91,0.1451,15.4,50.0,deserto_critico,Deserto crítico,67.3,8,
